listing_title,tradein_title,listing_price,tradein_value,difference,location,url
Iphone 12 Pro Max,iPhone 12,500.0,200,-300.0,"Denver, CO",https://www.facebook.com/marketplace/item/330974646688515/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
GOLD IPHONE 13 PRO 128gb - UNLOCKED,iPhone 13,600.0,300,-300.0,"Denver, CO",https://www.facebook.com/marketplace/item/457627893569618/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Like new iPhone 13 Pro 128 GB,iPhone 13,600.0,300,-300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2244857695845646/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max Light Blue 256gb UNLOCKED,iPhone 13 Pro Max,750.0,450,-300.0,"Denver, CO",https://www.facebook.com/marketplace/item/458412816889932/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 11 Pro Max - PAYMENT PLANS AVAILABLE,iPhone 11,469.0,170,-299.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/368834976178116/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 128gb Blue,iPhone 13,580.0,300,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/997878107940367/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 11 Pro Max 256gb space grey - unlocked,iPhone 11,450.0,170,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/1525114921378038/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iphone 13 Pro Max 128gb - light blue (Unlocked),iPhone 13 Pro,650.0,370,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/930657372149923/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max 256gb,iPhone 12 Pro,550.0,270,-280.0,"Aurora, CO",https://www.facebook.com/marketplace/item/2900730206735449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 128gb Light Blue,iPhone 13,580.0,300,-280.0,"Denver, CO",https://www.facebook.com/marketplace/item/1665917154174987/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 11 Pro Max 265gb,iPhone 11,450.0,170,-280.0,"Aurora, CO",https://www.facebook.com/marketplace/item/1818491351969247/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
