title,price,url,location
Iphone 11 128 gb,250.0,https://www.facebook.com/marketplace/item/2132752723777123/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone SE black,150.0,https://www.facebook.com/marketplace/item/421793523575312/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone baby blue 14,350.0,https://www.facebook.com/marketplace/item/1596647294210117/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 11 256,150.0,https://www.facebook.com/marketplace/item/712300764340824/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Brand new IPhone 11,280.0,https://www.facebook.com/marketplace/item/1865948787168094/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
IPhone 12 Pro - PAYMENT PLANS AVAILABLE,459.0,https://www.facebook.com/marketplace/item/778725107685903/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 6,70.0,https://www.facebook.com/marketplace/item/971214304662952/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone SE Red,100.0,https://www.facebook.com/marketplace/item/463617032698572/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Peyton, CO"
iPhone 15 pro UNLOCKED,550.0,https://www.facebook.com/marketplace/item/1012762820468169/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 3,90.0,https://www.facebook.com/marketplace/item/2143210786016044/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
IPHONE 12,480.0,https://www.facebook.com/marketplace/item/1103607157621165/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone Xs Max Pro,200.0,https://www.facebook.com/marketplace/item/370162485418746/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Samsung phone,80.0,https://www.facebook.com/marketplace/item/992205325836982/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Peyton, CO"
iPhone 11 UNLOCKED,100.0,https://www.facebook.com/marketplace/item/1191897575521669/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
APPLE IPHONE 15 PRO 128GB XFINITY,680.0,https://www.facebook.com/marketplace/item/915051240392144/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
APPLE IPHONE 15 PRO 128GB XFINITY,680.0,https://www.facebook.com/marketplace/item/1500750120829024/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Like new iPhone 13 Pro 128 GB,600.0,https://www.facebook.com/marketplace/item/2244857695845646/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone XR,160.0,https://www.facebook.com/marketplace/item/1405817436991310/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
