title,mileage,price,location,link,date_scraped
1998 Acura integra GS-R Sport Coupe 2D,130K miles,Free,"El Mirage, AZ",www.facebook.com/marketplace/item/229159622905329/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Chevrolet silverado 1500 Firm on price no ofresca menos,250K miles · Dealership,"$7,000","Phoenix, AZ",www.facebook.com/marketplace/item/151897604385610/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Chrysler 300 SRT8 Sedan 4D,160K miles,"$10,800","Phoenix, AZ",www.facebook.com/marketplace/item/943235116869257/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Nissan 350z Coupe 2D,106K miles,"$12,000","Phoenix, AZ",www.facebook.com/marketplace/item/1230176961237429/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Dodge ram 2500 SLT Pickup 4D 6 1/4 ft,270K miles,"$14,850","Phoenix, AZ",www.facebook.com/marketplace/item/3377234099214066/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Ford mustang convertible,95K miles,"$6,000","Phoenix, AZ",www.facebook.com/marketplace/item/715675453281340/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Ford mustang Coupe 2Door,137K miles,"$4,500","Avondale, AZ",www.facebook.com/marketplace/item/958455615537438/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Lexus es330,103K miles,"$4,500","Glendale, AZ",www.facebook.com/marketplace/item/759379819189577/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Kia optima,84K miles,"$1,000","Chandler, AZ",www.facebook.com/marketplace/item/1631888620565742/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Nissan xterra S Sport Utility 4D,162K miles,"$2,500","Peoria, AZ",www.facebook.com/marketplace/item/1330458514451928/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Chevrolet malibu,133K miles,"$3,500","Mesa, AZ",www.facebook.com/marketplace/item/596543212362547/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Ford fusion S Sedan 4D,105K miles,"$7,950","Phoenix, AZ",www.facebook.com/marketplace/item/583891486947284/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2001 Ford taurus,157K miles,"$2,600","Glendale, AZ",www.facebook.com/marketplace/item/6184285684969604/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
